boro_cd,total_complaints,cell_count,top_1pct_share,top_10_share,hotspot_count,gini_coefficient,max_cell_count,max_cell_share,n_repeat_location_dominant,n_suspected_artifact,cd_label,cd_short
316,3481,76,0.0,0.34415397874174086,71,0.3892824203571268,251,0.0721057167480609,1,0,Brooklyn Community District 16,BK 16
317,5410,131,0.0,0.2951940850277264,107,0.5013080103286254,259,0.04787430683918669,0,0,Brooklyn Community District 17,BK 17
318,3183,240,0.0,0.2670436694941879,111,0.5158354277934862,172,0.05403707194470625,0,0,Brooklyn Community District 18,BK 18
401,9415,195,0.09283058948486458,0.2705257567711099,166,0.5302830997998285,466,0.04949548592671269,0,0,Queens Community District 1,QN 1
402,5986,138,0.15953892415636486,0.3802205145339125,106,0.601952865865764,557,0.09305045105245573,0,0,Queens Community District 2,QN 2
403,6247,119,0.0,0.3081479109972787,101,0.502393754043958,256,0.040979670241716025,0,0,Queens Community District 3,QN 3
404,5085,96,0.15004916420845624,0.3708947885939036,83,0.4859738610291706,763,0.15004916420845624,0,0,Queens Community District 4,QN 4
405,4799,228,0.0,0.21358616378412168,132,0.5204931217395439,159,0.03313190247968327,0,0,Queens Community District 5,QN 5
406,4021,109,0.1755782143745337,0.48445660283511566,74,0.6218271505787278,706,0.1755782143745337,2,0,Queens Community District 6,QN 6
407,7477,361,0.06138825732245553,0.26494583389059784,179,0.6208579810958592,459,0.06138825732245553,5,0,Queens Community District 7,QN 7
408,6832,206,0.5960187353629977,0.7318501170960188,75,0.8237235965530569,4072,0.5960187353629977,2,0,Queens Community District 8,QN 8
409,4177,158,0.0,0.1850610485994733,128,0.392758111781516,111,0.026574096241321524,0,0,Queens Community District 9,QN 9
410,7414,192,0.45967089290531427,0.5780954950094416,117,0.7303215762970956,2760,0.3722686808740221,1,0,Queens Community District 10,QN 10
411,1511,196,0.0,0.2686962276637988,41,0.47060670727589526,100,0.06618133686300463,2,0,Queens Community District 11,QN 11
412,8372,366,0.1441710463449594,0.2795031055900621,240,0.5510868912508258,1207,0.1441710463449594,1,0,Queens Community District 12,QN 12
413,2653,334,0.0,0.16471918582736525,89,0.4376302051005414,88,0.033169996230682244,2,0,Queens Community District 13,QN 13
414,2720,141,0.0,0.3375,67,0.5733156028368795,208,0.07647058823529412,1,0,Queens Community District 14,QN 14
501,4096,318,0.0,0.28564453125,113,0.5731270268278301,351,0.085693359375,1,0,Staten Island Community District 1,SI 1
502,1493,222,0.0,0.2632283991962492,32,0.47969503327842244,65,0.043536503683858,1,0,Staten Island Community District 2,SI 2
503,1419,230,0.0,0.321353065539112,25,0.48434292367558296,127,0.08949964763918253,1,0,Staten Island Community District 3,SI 3
