boro_cd,total_complaints,cell_count,top_1pct_share,top_10_share,hotspot_count,gini_coefficient,max_cell_count,max_cell_share,n_repeat_location_dominant,n_suspected_artifact,cd_label,cd_short
303,8449,118,0.0,0.2376612616877737,114,0.36228437424146076,294,0.0347970173985087,0,0,Brooklyn Community District 3,BK 3
304,7346,79,0.0,0.27375442417642254,76,0.33823625705197347,262,0.03566566839096107,2,2,Brooklyn Community District 4,BK 4
305,7024,210,0.0,0.21554669703872437,162,0.4893114762989479,224,0.03189066059225513,16,12,Brooklyn Community District 5,BK 5
306,6447,117,0.12889716147045138,0.41368078175895767,96,0.5761402308633579,831,0.12889716147045138,3,3,Brooklyn Community District 6,BK 6
307,3436,112,0.0,0.2991850989522701,82,0.49755737568601366,219,0.06373690337601863,10,9,Brooklyn Community District 7,BK 7
308,7327,68,0.26654838269414494,0.44492971202402076,67,0.4550514214147512,1064,0.14521632318820799,1,0,Brooklyn Community District 8,BK 8
309,4917,69,0.07301199918649583,0.37949969493593655,66,0.4296834702437269,359,0.07301199918649583,1,1,Brooklyn Community District 9,BK 9
310,3147,141,0.0,0.30823006037496026,86,0.538168738886748,206,0.06545916746107404,12,12,Brooklyn Community District 10,BK 10
311,3678,150,0.0,0.2955410549211528,110,0.4913503715787566,174,0.04730831973898858,6,5,Brooklyn Community District 11,BK 11
312,3645,136,0.12482853223593965,0.43292181069958846,73,0.6376119583635924,455,0.12482853223593965,15,13,Brooklyn Community District 12,BK 12
313,2830,111,0.0,0.4021201413427562,63,0.6044312864100851,258,0.0911660777385159,12,12,Brooklyn Community District 13,BK 13
314,5586,120,0.0,0.386860007160759,92,0.5829007041413057,293,0.05245255997135696,5,5,Brooklyn Community District 14,BK 14
315,3358,180,0.1780821917808219,0.36658725431804645,92,0.5929488452120972,598,0.1780821917808219,18,18,Brooklyn Community District 15,BK 15
316,3481,76,0.0,0.34415397874174086,71,0.3892824203571268,251,0.0721057167480609,1,0,Brooklyn Community District 16,BK 16
317,5414,135,0.0,0.2949759881787957,107,0.5149858391823667,259,0.04783893609161433,4,4,Brooklyn Community District 17,BK 17
318,3384,270,0.0,0.28132387706855794,113,0.5633941861483232,172,0.0508274231678487,30,30,Brooklyn Community District 18,BK 18
401,9457,210,0.09241831447604949,0.26932431003489476,167,0.5580038973398389,466,0.049275668816749496,15,15,Queens Community District 1,QN 1
402,6014,163,0.15879614233455272,0.37845028267376124,106,0.6560418328603401,557,0.09261722647156634,25,25,Queens Community District 2,QN 2
403,6249,121,0.0,0.3080492878860618,101,0.5101404654496786,256,0.0409665546487438,2,2,Queens Community District 3,QN 3
404,5132,99,0.14867498051441932,0.367498051441933,84,0.49315445963926074,763,0.14867498051441932,3,3,Queens Community District 4,QN 4
405,4854,248,0.0,0.2111660486196951,133,0.5453201217486077,159,0.032756489493201486,20,20,Queens Community District 5,QN 5
406,4061,121,0.1738488057128786,0.4796848066978577,75,0.6493535566088229,706,0.1738488057128786,14,12,Queens Community District 6,QN 6
407,9811,420,0.2655182957904393,0.40026500866374476,182,0.7224235673272468,1368,0.13943532769340536,64,59,Queens Community District 7,QN 7
408,8933,254,0.5272584797940222,0.7528265980073884,81,0.8605969549339747,4072,0.4558379043994179,50,48,Queens Community District 8,QN 8
409,4177,158,0.0,0.1850610485994733,128,0.392758111781516,111,0.026574096241321524,0,0,Queens Community District 9,QN 9
410,7494,213,0.45476381104883906,0.5719242060314919,118,0.7488031113466673,2760,0.36829463570856685,22,21,Queens Community District 10,QN 10
411,1656,275,0.0,0.24758454106280192,43,0.5436012296881862,100,0.06038647342995169,81,79,Queens Community District 11,QN 11
412,8384,377,0.14396469465648856,0.2791030534351145,240,0.5619912628829449,1207,0.14396469465648856,12,11,Queens Community District 12,QN 12
413,2776,421,0.0,0.15742074927953892,89,0.4989252979388994,88,0.03170028818443804,89,87,Queens Community District 13,QN 13
414,2810,182,0.0,0.32669039145907475,69,0.6366626256305972,208,0.07402135231316725,42,41,Queens Community District 14,QN 14
501,4257,416,0.0824524312896406,0.2748414376321353,113,0.6256939926998066,351,0.0824524312896406,99,98,Staten Island Community District 1,SI 1
502,1720,350,0.0,0.24883720930232558,33,0.5625348837209303,65,0.0377906976744186,129,128,Staten Island Community District 2,SI 2
503,1674,398,0.0,0.2819593787335723,26,0.5523765782316601,127,0.07586618876941457,169,168,Staten Island Community District 3,SI 3
