ntacode,2021,2022,2023,nta_name,transition_2021_2022,transition_2022_2023,n_unique_clusters,is_stable
QN0802,5,5,5,Pomonok-Electchester-Hillcrest,5 -> 5,5 -> 5,1,True
QN0803,3,0,8,Fresh Meadows-Utopia,3 -> 0,0 -> 8,3,False
QN0804,0,4,1,Jamaica Estates-Holliswood,0 -> 4,4 -> 1,3,False
QN0805,0,2,1,Jamaica Hills-Briarwood,0 -> 2,2 -> 1,3,False
QN0901,0,2,1,Kew Gardens,0 -> 2,2 -> 1,3,False
QN0902,4,0,4,Richmond Hill,4 -> 0,0 -> 4,2,False
QN0903,4,6,4,South Richmond Hill,4 -> 6,6 -> 4,2,False
QN0904,4,6,0,Ozone Park (North),4 -> 6,6 -> 0,3,False
QN0905,4,2,4,Woodhaven,4 -> 2,2 -> 4,2,False
QN1001,4,6,4,South Ozone Park,4 -> 6,6 -> 4,2,False
QN1002,4,6,4,Ozone Park,4 -> 6,6 -> 4,2,False
QN1003,4,7,2,Howard Beach-Lindenwood,4 -> 7,7 -> 2,3,False
QN1101,1,4,0,Auburndale,1 -> 4,4 -> 0,3,False
QN1102,3,1,3,Bayside,3 -> 1,1 -> 3,2,False
QN1103,3,4,6,Douglaston-Little Neck,3 -> 4,4 -> 6,3,False
QN1104,3,-1,8,Oakland Gardens-Hollis Hills,3 -> -1,-1 -> 8,3,False
QN1201,0,2,3,Jamaica,0 -> 2,2 -> 3,3,False
QN1202,0,2,1,South Jamaica,0 -> 2,2 -> 1,3,False
QN1203,4,6,4,Baisley Park,4 -> 6,6 -> 4,2,False
QN1204,4,6,4,Springfield Gardens (North)-Rochdale Village,4 -> 6,6 -> 4,2,False
QN1205,4,6,4,St. Albans,4 -> 6,6 -> 4,2,False
QN1206,0,6,4,Hollis,0 -> 6,6 -> 4,3,False
QN1301,-1,-1,-1,Glen Oaks-Floral Park-New Hyde Park,-1 -> -1,-1 -> -1,1,True
QN1302,-1,0,1,Bellerose,-1 -> 0,0 -> 1,3,False
QN1303,4,6,4,Queens Village,4 -> 6,6 -> 4,2,False
QN1304,1,1,4,Cambria Heights,1 -> 1,1 -> 4,2,False
QN1305,4,6,4,Laurelton,4 -> 6,6 -> 4,2,False
QN1306,4,6,4,Springfield Gardens (South)-Brookville,4 -> 6,6 -> 4,2,False
QN1307,4,2,4,Rosedale,4 -> 2,2 -> 4,2,False
QN1401,0,2,1,Far Rockaway-Bayswater,0 -> 2,2 -> 1,3,False
QN1402,0,2,1,Rockaway Beach-Arverne-Edgemere,0 -> 2,2 -> 1,3,False
