ntacode,rate_per_1k_pop,rate_per_km2,share_noise___residential,share_noise___street/sidewalk,share_noise___commercial,share_noise___vehicle,share_noise___park,share_noise,share_noise___helicopter,share_noise___house_of_worship,share_evening,share_early_am,share_core_night,share_predawn,late_night_share,weekend_uplift,warm_season_ratio
BK1103,-0.4217015746818314,-0.5022316101719445,0.21453852307489926,-0.9532929797939176,1.5165227441988571,0.9446374654185313,-0.5207074831854985,-0.37993709441188395,-0.29090266834062145,-0.12838107983787883,-0.5454630045864816,0.8617237986920995,1.1178097079422387,-0.248554054774831,1.7458830153090388,-1.0419086088211533,-1.0169492628691232
BK1201,-0.25071390077641464,-0.08061471904773992,0.17651838375463125,1.0414628672172135,0.0833695632747456,-0.5611851318163124,-0.49659466468083463,-0.4655212138247006,-0.28707324904909814,-0.09259730862887448,0.2185651733086587,1.3597250622960142,-0.37727129008452664,-0.5701546511029132,0.1039937530543859,-0.15577582487720817,0.800410467957173
BK1202,-0.6206073662066462,-0.6707698445376155,-1.0330676659563085,-0.7516991588940276,-0.16254172142007053,5.1053847479616925,-0.33858260852048894,-0.13586757183543044,-0.2932860240599085,0.1418948667596031,-1.4710041714462896,-1.766669161755542,1.0574177088736434,1.7228856501086591,0.3946787492796427,-1.7637537713429743,-0.9463885504012156
BK1203,-0.25450455982459635,-0.20794369345565886,-0.9939271230234116,0.47539773569739385,0.11150145181497295,2.2986011932551165,0.4126858750730078,0.1398490370117847,-0.27016886922848177,0.25348412635526807,-1.3471245412851862,1.6124152006229608,1.2977605978326667,0.22286110931648076,2.7129825215865475,-1.1596311890415305,-0.7604735233975516
BK1204,-0.4840179343155858,-0.6537815764338871,0.8219800923232177,-0.7545227324005458,-0.791405425057963,0.1749609350484551,0.947250098294359,-0.2788929449630208,-0.30372171731650094,1.5904377745073461,-1.330752811661653,-1.3034463328741945,0.19242594207630873,1.7843499749577258,-0.1988312606064537,-0.41248348511439964,-0.9401924140035129
BK1301,-0.42946303540739766,-0.6350978416862308,0.9858482919652427,-0.3162420985490917,-1.0200204314054122,-0.5947557184063657,-0.2584086720613482,-0.1394395693686209,-0.30372171731650094,-0.2481678884240495,-0.6754561039599928,-0.08296780676668684,0.2106071117795679,0.639263014778221,0.3012870677015706,-0.7668278390220467,-0.6741535363262892
BK1302,-0.3038704592219161,-0.562156550166559,0.7686372475299312,0.33526625245974884,-0.8158785993832706,-0.8396552808026073,0.0925462052587796,-0.30805871036289834,-0.30372171731650094,-0.2481678884240495,0.5362859650631182,-0.10560437424278585,0.10003549553066061,-0.5608770532605712,-0.24434331978764753,-0.39578752204901096,0.596116354585065
BK1303,-0.2479555668347673,-0.1861928713792229,1.3605038376942402,-0.41616693527576176,-1.1295615407368216,-0.8034014080791069,-0.1803175908905379,-0.5298087577691264,-0.29536206090989015,0.06429727610072757,-0.5275394566980394,-0.17588543473156218,-0.806735143429556,0.9681156679634462,-0.6271803128537048,-0.9042823029403766,-0.15683702361363883
BK1401,0.04542628749142643,0.519236502665666,0.5738511454468173,0.0953810237704369,-0.42890703658440904,0.4057826241643001,-0.5726412846684102,-0.6566459962680518,-0.26486560638641377,-0.1627352954475252,-0.41715816080949697,-0.32995056516902344,0.1027701539653896,0.5112160448106713,0.09529126133962315,-1.0090439067520454,-0.5090355334287593
BK1402,-0.33709573714883656,-0.4020565187836848,0.40657373604629216,-0.16300901995289932,-0.11820641902665142,-0.4347093093706429,-0.5089392386561991,0.10766666880660387,-0.2743457284484108,0.5753384330337741,-0.40509491946155624,0.1328332988499897,0.8098045913646202,0.014328018439676191,0.9391837880122025,-0.9673114658971774,-0.2992150027153209
BK1403,-0.3802232333595,-0.49049069279483953,1.3028448743363554,-1.2975249839018275,-0.896873844319796,-0.3861331662913499,0.7923825313987125,-0.16561372394447954,-0.2907008771802721,0.2385218458813199,-0.8570919435533104,-0.7611295457373415,1.3177082344022304,0.5947496894495747,1.057128643618059,-1.0782137082965377,-0.7667853707474444
BK1501,-0.5243763352232678,-0.6487951491493528,0.16659484403243321,-0.6729327872151324,0.15567121810186466,-0.11672765094029956,0.7560555712626967,0.5617361444196416,-0.30372171731650094,-0.04671572473866512,-0.6230375670895585,-0.6578060498215696,0.12597657621459207,0.837431608476053,0.05391601536224371,-0.7272393594048582,-0.4686135451224203
BK1502,-0.47057985722788986,-0.5961630421283127,0.009056200576980663,-0.08477051085083244,-0.737733440507706,0.6939961660587713,-0.464550916102881,0.38773005002139177,-0.29285300774220757,-0.045043922550404646,-1.5134319245749268,0.08458159177459322,0.428849192625667,1.3499510217582529,0.8137951508896099,-1.1460657836038064,-0.5069913601511957
BK1503,-0.2838837090140772,-0.5591236362797445,1.0900810451865741,-1.0092305815850515,0.3061721761794238,-0.9199067437018628,-0.29201324576480936,-0.18438272867609495,-0.28324731131802755,-0.17163916131271797,-0.8197123671789637,0.5969868079147516,1.307304541941788,0.05180741715626155,1.4978745280739985,-0.8873404667512041,-0.792092243225443
BK1601,-0.1410397016227848,-0.13396302008096025,1.0637341988654216,-0.3269805030275384,-0.30933555242019456,-0.5407980419083028,-0.4037683631128667,-0.6521147376106052,-0.2670995208081796,0.04515826469175321,0.28982005919916637,0.6209869183457194,-0.3889207685868942,-0.3622386062547261,-0.36677067206351455,0.2183216128176082,0.012511447937577299
BK1602,-0.09768948403578606,-0.17112723556965767,1.2692729117124204,-0.2398503395216274,-1.0223929328517314,-0.9085298250827368,2.6639946941109907,-0.7636293563235558,-0.2965190802658922,-0.18086329294896006,0.4172770529285547,0.4943114911943645,-0.2773206072333962,-0.49612399555174275,-0.19219343066506933,-0.37284678971294716,0.25331557969071894
BK1701,0.003021506740630944,0.15891490869463895,0.5595834637475608,-0.19698626219876317,0.09035805980058394,0.22675989426581855,-0.6014255706621037,-0.5076260579252773,-0.30372171731650094,0.24511924750997954,0.3483560445541212,-0.005585383420132178,-0.6929387244911889,-0.054531722096484186,-0.9210975032793127,-0.4685642355046781,-0.5621760253705659
BK1702,-0.30909005970721987,-0.46579626665179763,1.0696383560623441,-0.8734309101368781,0.24239213683809424,-0.6499066115482764,-0.3965386653902238,-0.3733771825924887,-0.29558706201400187,0.055887240616623854,0.678333656244158,0.590242280670671,-0.3352309719970429,-0.7774470576849584,-0.07349213215502283,0.24487354069761197,0.388352740692333
BK1703,-0.25051468675309463,-0.4195881295780202,1.011257773007045,-0.4586725854027287,0.7908105885619551,-0.6554103638041607,-0.5203769422867409,-0.8419491221632882,-0.2908501742825712,-0.127890552366191,0.6673961836760995,0.7777728169719444,-0.28062607333913775,-0.8603657651264219,0.06954765882115757,0.6530441500893419,0.24864173575517576
BK1704,-0.26797964708445665,-0.2519262982763579,1.675087150705785,-0.5849986256868228,-0.7690380092382793,-0.7917068791277324,-0.5152231532001542,-1.0126275966594072,-0.30372171731650094,-0.12024225486425401,-0.16047997310891074,0.4996313544685257,0.1728059110999058,-0.09666392269555917,0.16517610184754178,-0.34648973113750786,-0.6619539466773332
BK1801,-0.4486467638665595,-0.6211195814594871,0.2563273472895766,-0.3717991357783623,2.0824167305840473,-0.3038313208568655,-0.6014255706621037,-0.5834232828540711,-0.2611799236927588,1.1147892097350707,1.046297752369593,-0.08548499601043395,-0.6637689373328164,-0.7615923501078049,-0.8640587644875779,0.6353049240778932,-0.00249156647227058
