ntacode,nta_name,borough_name,is_residential,ntatype_label,cluster_id,cluster_label,is_outlier_cluster,rate_per_1k_pop,rate_per_km2,share_noise___residential,share_noise___street/sidewalk,share_noise___commercial,share_noise___vehicle,share_noise___park,share_noise,share_noise___helicopter,share_noise___house_of_worship,share_evening,share_early_am,share_core_night,share_predawn,late_night_share,weekend_uplift,warm_season_ratio
QN0704,Murray Hill-Broadway Flushing,Queens,True,Residential/Mixed,5,Cluster_5,False,20.778088561153695,218.1278387380016,0.45454545454545453,0.27797202797202797,0.033216783216783216,0.04108391608391608,0.017482517482517484,0.17132867132867133,0.0026223776223776225,0.0017482517482517483,0.25786713286713286,0.11800699300699301,0.2194055944055944,0.40472027972027974,0.26835664335664333,1.6210374639769451,0.9584775086505191
QN0705,East Flushing,Queens,True,Residential/Mixed,5,Cluster_5,False,20.642050333575533,212.49006852699915,0.6464,0.0624,0.0256,0.0576,0.0272,0.1808,0.0,0.0,0.2576,0.1504,0.2128,0.3792,0.2864,1.3675742574257426,1.0938864628820961
QN0801,Kew Gardens Hills,Queens,True,Residential/Mixed,5,Cluster_5,False,11.571254567600487,131.15835282525734,0.5789473684210527,0.11004784688995216,0.01674641148325359,0.10526315789473684,0.009569377990430622,0.17703349282296652,0.0023923444976076554,0.0,0.32057416267942584,0.13875598086124402,0.1076555023923445,0.43301435406698563,0.16985645933014354,1.4583333333333335,0.9065420560747665
QN0804,Jamaica Estates-Holliswood,Queens,True,Residential/Mixed,5,Cluster_5,False,14.275344785869828,96.68495005910924,0.5903954802259888,0.06779661016949153,0.08757062146892655,0.07344632768361582,0.0,0.17796610169491525,0.0,0.002824858757062147,0.2570621468926554,0.14124293785310735,0.15254237288135594,0.4491525423728814,0.22033898305084745,0.984251968503937,0.6747404844290658
QN0805,Jamaica Hills-Briarwood,Queens,True,Residential/Mixed,5,Cluster_5,False,17.601142798836797,268.65675493743856,0.7347826086956522,0.06666666666666667,0.015942028985507246,0.04927536231884058,0.0014492753623188406,0.12753623188405797,0.004347826086956522,0.0,0.3521739130434783,0.15797101449275364,0.12753623188405797,0.36231884057971014,0.18405797101449275,1.6267942583732058,1.14
QN0901,Kew Gardens,Queens,True,Residential/Mixed,5,Cluster_5,False,31.719602048037295,404.34378113694976,0.5708661417322834,0.09055118110236221,0.03937007874015748,0.07611548556430446,0.009186351706036745,0.2125984251968504,0.0013123359580052493,0.0,0.3543307086614173,0.15223097112860892,0.16272965879265092,0.33070866141732286,0.21916010498687663,1.485355648535565,0.854974704890388
QN1101,Auburndale,Queens,True,Residential/Mixed,5,Cluster_5,False,16.33774103123142,111.97827762985538,0.4679376083188908,0.06759098786828423,0.05545927209705372,0.12998266897746968,0.022530329289428077,0.2512998266897747,0.0017331022530329288,0.0034662045060658577,0.29809358752166376,0.1611785095320624,0.1663778162911612,0.37435008665511266,0.2512998266897747,1.2273901808785528,1.349246231155779
QN1201,Jamaica,Queens,True,Residential/Mixed,5,Cluster_5,False,37.760416666666664,506.6021996677305,0.6229582577132486,0.1560798548094374,0.07395644283121597,0.05807622504537205,0.0,0.08711433756805807,0.00045372050816696913,0.0013611615245009074,0.33257713248638837,0.1969147005444646,0.16742286751361163,0.3030852994555354,0.24682395644283123,1.6490963855421685,0.9879372738238842
QN1401,Far Rockaway-Bayswater,Queens,True,Residential/Mixed,5,Cluster_5,False,19.062283470628994,220.35112450439962,0.7463651050080775,0.07592891760904685,0.017770597738287562,0.048465266558966075,0.006462035541195477,0.1050080775444265,0.0,0.0,0.32310177705977383,0.17689822294022617,0.16639741518578352,0.33360258481421645,0.24232633279483037,1.6047745358090184,1.0064724919093853
QN1402,Rockaway Beach-Arverne-Edgemere,Queens,True,Residential/Mixed,5,Cluster_5,False,25.624073862988716,239.56465409252485,0.6325622775800712,0.15480427046263345,0.04715302491103203,0.06316725978647687,0.004448398576512456,0.09697508896797152,0.0,0.0008896797153024911,0.3736654804270463,0.1290035587188612,0.17437722419928825,0.32295373665480426,0.23487544483985764,1.43006993006993,1.215
QN1403,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Queens,True,Residential/Mixed,5,Cluster_5,False,21.207113629209946,83.799520102363,0.5658627087198516,0.15398886827458255,0.027829313543599257,0.05380333951762523,0.00927643784786642,0.18738404452690166,0.0018552875695732839,0.0,0.22077922077922077,0.2541743970315399,0.15213358070500926,0.37291280148423006,0.2727272727272727,1.3721264367816093,1.2109375
SI0103,Rosebank-Shore Acres-Park Hill,Staten Island,True,Residential/Mixed,5,Cluster_5,False,20.71292976165366,149.92642059965493,0.7657841140529531,0.04480651731160896,0.038696537678207736,0.05295315682281059,0.0,0.09775967413441955,0.0,0.0,0.28716904276985744,0.14867617107942974,0.1894093686354379,0.37474541751527496,0.26272912423625255,1.675170068027211,0.7103274559193954
SI0104,West New Brighton-Silver Lake-Grymes Hill,Staten Island,True,Residential/Mixed,5,Cluster_5,False,16.419141914191417,75.28280290694174,0.6113902847571189,0.06867671691792294,0.03350083752093802,0.05025125628140704,0.005025125628140704,0.20100502512562815,0.02847571189279732,0.0016750418760469012,0.2663316582914573,0.16750418760469013,0.19262981574539365,0.37353433835845895,0.2814070351758794,1.3466494845360826,1.136258660508083
SI0105,Westerleigh-Castleton Corners,Staten Island,True,Residential/Mixed,5,Cluster_5,False,13.687279423047414,62.73037700882317,0.6031390134529148,0.03587443946188341,0.03139013452914798,0.08744394618834081,0.011210762331838564,0.21524663677130046,0.013452914798206279,0.002242152466367713,0.1905829596412556,0.08295964125560538,0.16591928251121077,0.5605381165919282,0.2062780269058296,1.3986013986013985,0.6557377049180328
SI0201,Grasmere-Arrochar-South Beach-Dongan Hills,Staten Island,True,Residential/Mixed,5,Cluster_5,False,17.46119733924612,84.6462139634229,0.6714285714285714,0.04126984126984127,0.022222222222222223,0.06190476190476191,0.004761904761904762,0.1984126984126984,0.0,0.0,0.2920634920634921,0.1492063492063492,0.18571428571428572,0.373015873015873,0.26031746031746034,1.7452830188679245,1.1629955947136563
