boro_cd,rate_per_1k_pop,rate_per_km2,share_noise___residential,share_noise___street/sidewalk,share_noise___commercial,share_noise___vehicle,share_noise___park,share_noise,share_noise___helicopter,share_noise___house_of_worship,share_evening,share_early_am,share_core_night,share_predawn,late_night_share,weekend_uplift,warm_season_ratio
208,-0.06629066138138,-0.48850757048017523,0.5573075555987079,0.01484530478075792,-1.1713246636975119,-0.013197881053460774,0.33764990297174774,-0.04496377515328536,-0.3436541915922974,-0.04452967594467926,0.6083876961174837,0.06593109824588625,-0.2919484458717291,-0.5176627939620713,-0.31378423065262306,0.27239874115029983,0.057633677841782284
209,-0.2301265735212539,-0.3878396359287099,0.639448733274176,0.9406648720316542,-0.9538836670439278,-0.0946077260571131,-0.3455606949446741,-0.8233326221170588,-0.4403367870630386,-0.21486446104821366,1.0513856902829115,1.2244192585888543,-1.3951510968272167,-0.9744724182592268,-1.2118248462638788,1.286663236182098,0.4944451755423455
210,-0.7143471075611553,-0.9595384152541239,0.05692867593733133,0.348614844366235,0.8298012647283685,0.35940440493272724,-0.12507368870073393,-0.4325798822192958,-0.4437373834215925,-0.13863800442638036,1.2042659798754467,0.8031365277413016,-0.9365242883435659,-1.1369208308232648,-1.2191109625052674,1.1742349406160648,0.18615498591459245
211,-0.4889078745320459,-0.7031303286115519,1.3650924880006439,-0.7924917372504293,-0.6449415632197766,-0.46605651301841955,-0.7818474229991733,-0.45030483066695315,-0.43714701147262774,-0.18681026684860902,0.09308512164471279,-0.2801217865936867,-0.40675856757008394,0.1517376052468944,-0.3289788351192557,-0.0382184758055859,-0.5970617683195847
212,6.052440255812673,2.291073908857412,2.9107689434839785,-1.6814889558529975,-1.332001078632116,-1.3096447216902878,-0.7211396856219876,-1.4798347930791806,-0.44573676876886503,-0.2224568988362126,-0.8754516525186569,1.4199070103502973,1.12550352460999,-0.04219427231982955,1.9931682536140785,-1.4147553324056412,4.00969550207641
301,0.00179162486097995,-0.21856350918393871,-0.7162513281196277,0.011999655471613434,1.6901843867607669,0.0817399538919015,0.297967729326598,0.9044159080263305,-0.4081704180420532,-0.1899725288517545,-0.07385195060298488,-0.09744358983657972,0.2686379126563526,0.012250384632053227,0.27853701890195004,0.9245524622206522,-0.24949493552955102
302,0.6372628880670315,0.2739919249554202,-0.1452003167811017,-0.6404777640339231,-0.4055336760450544,-0.4388458887174483,-0.5308035318135441,1.0925224476728013,0.1845220674955495,-0.047908378720771104,-1.7477209639965638,-0.615377838849529,2.9099876199496935,0.9069038237693133,3.2812277806905867,-1.4773047920777147,-0.5431040438174372
303,-0.0826956490890246,0.1767667276241682,0.4213754943703068,-0.11985667908879363,0.6428433835078922,-0.36614974892818597,-0.14522773479770043,-0.12167069047274758,-0.4276827920662193,-0.10044511285480258,0.5340583540750543,-0.6791116475589649,-0.47378013979802486,-0.11586135736178856,-0.8183151200252805,0.3918138531080529,-0.0832525635415657
304,0.4273714867124116,0.4832899947316125,-0.11864316478243184,0.2696715685752946,1.7990115491862897,0.07427297537566696,-0.364453838142996,-0.29372908915668394,-0.43336517467220786,-0.20087265540292615,1.1764089948906593,0.9642613012759977,-0.9351925901269114,-1.1672641938855506,-0.4895069601534667,2.202978965522331,0.08075745808330671
305,-0.4194893827644798,-0.6000584393083372,0.692619596159392,0.2239037276517187,0.3206315800537903,-0.15870211214237925,-0.5109906922247365,-0.8457512196719875,-0.4378147285671141,0.08597934766383353,0.8936368508914214,0.9013462671651876,-1.473910261840517,-0.6770306374103778,-1.410906695588084,1.232109765576115,0.8243311912572527
306,0.14073824743278396,-0.2057110954347364,-1.979974776711228,-0.7061351667373303,-0.3242158312758873,-0.5678541305798825,-0.1752848144095201,0.7993369976290514,3.0672077870032033,-0.1949410361400683,-1.5195672333185335,-0.9565905311207595,2.028791603092602,1.115267755287315,1.8811220106373292,-1.318779972055281,-0.9991378431643603
307,-0.5990722153272935,-0.7515210420597711,-0.7938197396913169,0.36942345974035606,1.1885800367787451,-0.01689286517128965,6.15918809699552,0.4474221943849779,-0.37835205448920667,-0.21448789086058284,-0.15495123473699232,-0.47527237099839426,-0.144347264830962,0.37191199267442565,-0.18477644132296703,-0.32302449875576145,-0.5307999439326517
308,0.521524655129222,0.9037102713320837,-0.826388484983093,-0.881609562546283,-0.5296471581376424,-0.4487761228623341,-0.4794546337054606,-0.02356717518814338,2.2800567095529125,-0.2313675719826989,-0.8651732184806478,-1.0878156596426842,1.214823568432749,0.8068056473062284,0.7888498218421551,-1.0730921865495044,-0.5836483554169155
309,-0.025109531999096893,0.18062858831308243,0.10077174856438913,0.3936922100558179,-0.30336464188158274,-0.05630394409790961,-0.40438530004876755,0.12010582739185365,-0.3401080008633967,-0.03757331305153754,-0.3294311019788466,-0.5750331524337507,-0.12698715148303125,0.5725258800596753,-0.3701194383497196,-0.9961535287821028,-0.8453550707448068
310,-0.6545020717376611,-0.7977564321202444,-0.15365262482320516,-0.6619558013892988,0.9954421256207414,0.42314168474777347,0.38991371991183177,0.6115953255031289,-0.4227551454331457,-0.2129680770100763,-0.38570589047886555,-0.6486021806321953,0.13763734322950819,0.56045616573441,0.2858042861727951,-0.2880789813228209,-0.42243225905232396
311,-0.8389450969551293,-0.7201960171408156,0.5908915877695543,-0.9564637326763971,1.125424751345124,0.07553255334672047,-0.3379772098655738,-0.19105268331040276,-0.43707305967321747,0.08406221871519479,-0.28719590503867065,0.07938820046457608,0.6209486912763169,0.0345018221346307,0.7154927341373335,-0.5038441578717494,-0.8783437806903639
312,-0.8984518823469193,-0.7454638320467705,-0.3172685693831738,0.04229763374947334,-0.161438970325961,1.7806734862194824,0.02383077346006434,-0.06357265576216772,-0.42572261552036217,-0.01572248285792854,-1.056612488680817,0.38039099764832196,0.8392648757284046,0.6059556201906775,1.4770295771133222,-1.2188477868998793,-0.5201701414334242
313,-0.658001505578727,-0.7648250832875974,1.1841403537826671,-0.1382660466691034,-1.2239583343214382,-0.7466028059094281,-0.188869752462116,-0.3050072385541798,-0.44350367373695426,-0.1686606385333782,0.008227448742354827,-0.252997171916059,-0.2340514825252699,0.16443063919034942,-0.4780801143644002,-0.7756121518043919,0.17227861499461447
314,-0.38781799403976636,-0.27085783631196203,0.8494108895422194,-0.35941578982288364,-0.5859299306651878,0.049656423833716684,-0.4614666105811911,-0.38071336843002807,-0.40722488897994513,-0.016812024090931115,-0.5479075502299584,-0.4886854740130109,0.6170983780680886,0.4935978046104584,0.5404203601884335,-1.2486141403266644,-0.5977645457588496
315,-0.7662939934259807,-0.8412200849983906,0.8233174394021896,-0.8999108241873734,-0.03489609481851446,-0.41540469002422564,-0.27291905015948786,0.21003867460701492,-0.4314354062176125,-0.1507080548032799,-1.0134206814233637,0.23478564800702642,1.0734410811939796,0.532561159694801,1.374580070398411,-1.0942522980995184,-0.6947174063946088
316,-0.2948884015307098,-0.2738349694393258,1.4341617439791028,-0.419105962887552,-1.0799508685746595,-0.7689658352229293,1.5644090601072502,-0.72965190778702,-0.4272953316580894,-0.12453925584783142,0.48380647126161497,0.6261082442514301,-0.49198186055403187,-0.5236513146961207,-0.4117190767525315,-0.05998340647622321,0.21866015867914565
317,-0.418217383876242,-0.4361053504817495,1.2439434394106426,-0.6411737078719267,-0.05048266039229706,-0.38181170995627395,-0.7583825644269043,-0.7043657911357825,-0.44172174810379183,-0.02125302345726125,0.5429898780955992,0.42185604339554195,-0.5146260484545461,-0.5012224490043506,-0.5159932496726195,0.07540567402596766,-0.17728433477574362
318,-0.9147636628960978,-0.9962701328193461,0.5841403828502894,-0.7874710236467932,1.8273230952582526,-0.4825605025820373,-0.5003478801544916,-0.29853221486021664,-0.4155699650269558,0.24358688940458345,1.0155587551384002,0.037140491036668485,-0.9997092541495298,-0.6572752321785473,-1.2267791168328088,0.8736615554775253,0.2088694641494063
401,0.15525042867232083,-0.46641002602820236,-0.7332663562037202,0.05945619930398342,2.7571454014630676,0.1859115676272879,-0.20468313181701897,0.26545750026839543,-0.3089565202309447,-0.1063154095829627,0.40919796641363565,1.7265426015644103,-0.6060223421130706,-0.8009502223294236,-0.40122635041357035,0.6341473126548878,-0.42874012766667424
