boro_cd,cd_label,cd_short,borough_name,cluster_id,cluster_label,is_outlier_cluster,rate_per_1k_pop,rate_per_km2,share_noise___residential,share_noise___street/sidewalk,share_noise___commercial,share_noise___vehicle,share_noise___park,share_noise,share_noise___helicopter,share_noise___house_of_worship,share_evening,share_early_am,share_core_night,share_predawn,late_night_share,weekend_uplift,warm_season_ratio
402,Queens Community District 2,QN 2,Queens,4,Low-Intensity Baseline,False,45.49255459428167,434.9972283778746,0.3543655001767409,0.2150936726758572,0.09261223047013079,0.08660303994344291,0.012725344644750796,0.22198656769176386,0.016260162601626018,0.0003534817956875221,0.3025804171085189,0.1587133262636974,0.16631318487097915,0.37239307175680453,0.24460940261576528,1.6849112426035502,1.098020280057943
403,Queens Community District 3,QN 3,Queens,1,Weekend-Heavy Residential,False,38.02323642225805,793.8286555341391,0.5190058479532164,0.22287199480181935,0.0726120857699805,0.08576998050682261,0.0242040285899935,0.07179987004548408,0.0008122157244964262,0.0029239766081871343,0.4026965562053281,0.20191682910981157,0.13044184535412606,0.26494476933073424,0.20614035087719298,2.081720750223281,1.196319018404908
404,Queens Community District 4,QN 4,Queens,1,Weekend-Heavy Residential,False,32.14664946393707,922.0189294550421,0.48907831646244004,0.1914402415201563,0.17723317350381815,0.05665068371514829,0.022020955425324097,0.061978334221275085,0.0003551767004084532,0.0012431184514295863,0.4439708755105665,0.22447167465814244,0.12697567039602203,0.20458177943526903,0.22198543775528326,2.206619859578736,1.0346310007165034
405,Queens Community District 5,QN 5,Queens,1,Weekend-Heavy Residential,False,27.323113526374133,258.5213492006543,0.4816940431426875,0.15337423312883436,0.12111616861270533,0.10370077181872155,0.011874134177716208,0.12487631110231545,0.001187413417771621,0.0021769245992479713,0.42568771027112606,0.17019592321393232,0.1357609340985553,0.2683554324163863,0.20403720562042352,2.1053590958804227,1.0103174603174603
406,Queens Community District 6,QN 6,Queens,4,Low-Intensity Baseline,False,33.119727980121624,527.3885083748996,0.6172260612043435,0.06564659427443238,0.03677196446199408,0.07206317867719644,0.004195459032576505,0.20236920039486672,0.0014807502467917078,0.00024679170779861795,0.3232971372161895,0.18435340572556763,0.15572556762092793,0.3366238894373149,0.2295162882527147,1.3226415094339623,0.8407582938388626
407,Queens Community District 7,QN 7,Queens,4,Low-Intensity Baseline,False,39.498944135150694,323.8289835586907,0.33232077764277035,0.17608343458890238,0.03422438234102876,0.07017010935601459,0.01751721344673957,0.10358444714459296,0.2656946132037262,0.0004050222762251924,0.29870392871607937,0.15259214256784123,0.17355204536249494,0.37515188335358446,0.23825435398946943,1.437171105086908,1.1853369119932196
408,Queens Community District 8,QN 8,Queens,3,Airport-Adjacent (Outlier),True,55.32462824175068,459.0283810470469,0.2580499378601288,0.020901593040334426,0.007343802960117501,0.48197943735171167,0.0014687605920235003,0.14710202237035364,0.01276691899220427,0.0703875268331262,0.1069935600497119,0.0821376115693142,0.1759123262908146,0.6349565020901593,0.21669867811546717,0.9978659500474233,0.7377533783783784
409,Queens Community District 9,QN 9,Queens,1,Weekend-Heavy Residential,False,27.775015084306354,419.928839872501,0.6287896872761995,0.11554070183814753,0.054905705418954405,0.10336595846264025,0.0023872045834328003,0.09262353783719265,0.0011936022917164002,0.0011936022917164002,0.459536882310814,0.17641441871568395,0.1396514681308188,0.2243972308426832,0.21079016471711626,2.326036866359447,1.337935795650673
410,Queens Community District 10,QN 10,Queens,2,Helicopter Corridor,False,55.11087973507444,476.79057813816735,0.33154027814221987,0.06822356336919444,0.03240619260036736,0.07019155077407505,0.001574389923904487,0.040934138021516665,0.45447389136709526,0.0006559958016268696,0.3053004460771451,0.11335607452112306,0.19286276567829966,0.3884807137234322,0.2383888743112044,1.6432920200043488,1.371248327279679
411,Queens Community District 11,QN 11,Queens,4,Low-Intensity Baseline,False,13.93527675994682,71.06957245887435,0.4077952297847586,0.06340895869691682,0.10413030831879,0.07446189645142524,0.012216404886561954,0.32693426410703896,0.008726003490401396,0.002326934264107039,0.3205351948807446,0.12449098312972659,0.1762652705061082,0.3787085514834206,0.2385107620709715,1.6242802303262955,1.1926829268292685
412,Queens Community District 12,QN 12,Queens,1,Weekend-Heavy Residential,False,32.60818895190739,337.9853075543529,0.7203955206099595,0.10841076959733142,0.04419823683583512,0.05920895878008101,0.0033357159876101976,0.062068143912318324,0.0015487252799618776,0.0008339289969025494,0.4474624731951394,0.20883964736716704,0.12211103168930189,0.2215868477483917,0.20609959494877295,1.997428204029147,1.7648060548722801
413,Queens Community District 13,QN 13,Queens,1,Weekend-Heavy Residential,False,13.63917864953262,86.58192854125184,0.5501951046470379,0.09648811635331678,0.05746718694572543,0.12841433132316424,0.0046115643845335225,0.1610500177367861,0.001064207165661582,0.000709471443774388,0.4402270308620078,0.15927633912735012,0.13728272437034408,0.26321390564029795,0.1958141184817311,2.1062091503267975,1.860344827586207
414,Queens Community District 14,QN 14,Queens,4,Low-Intensity Baseline,False,21.65750301729918,159.99708141437006,0.6694186446508428,0.12074303405572756,0.030959752321981424,0.05503955968352253,0.006191950464396285,0.11695906432748537,0.0003439972480220158,0.0003439972480220158,0.3240454076367389,0.17234262125902994,0.16683866529067767,0.33677330581355347,0.24492604059167528,1.488748627881449,1.1214555765595464
501,Staten Island Community District 1,SI 1,Staten Island,4,Low-Intensity Baseline,False,23.414169920913594,122.15774426809683,0.5519738378883439,0.1296426068675543,0.07054426535856108,0.11422564821303434,0.002803083391730904,0.12286848867087129,0.007241298761971502,0.000700770847932726,0.3366035972903527,0.14832982947909368,0.16444755898154637,0.35061901424900727,0.23265592151366504,1.7020023557126032,0.9602220166512488
502,Staten Island Community District 2,SI 2,Staten Island,4,Low-Intensity Baseline,False,12.853343142525679,33.065512217926646,0.542652724270776,0.06604292790313704,0.031920748486516236,0.10181618051733626,0.003852504127682994,0.2526141992294992,0.001100715465052284,0.0,0.2993946064942212,0.13538800220143093,0.19592735277930656,0.3692900385250413,0.26692350027517886,1.6943674976915974,1.1139622641509432
503,Staten Island Community District 3,SI 3,Staten Island,7,Nightlife & Entertainment,False,9.415153516994291,28.365487921376737,0.450063211125158,0.08091024020227561,0.02781289506953224,0.12262958280657396,0.0037926675094816687,0.309102402022756,0.0031605562579013905,0.0025284450063211127,0.20290771175726927,0.10872313527180784,0.2509481668773704,0.43742098609355246,0.3065739570164349,1.462925851703407,1.077319587628866
