boro_cd,count_night,population,area_km2,rate_per_1k_pop,rate_per_km2,share_noise___residential,share_noise___street/sidewalk,share_noise___commercial,share_noise___vehicle,share_noise___park,share_noise,share_noise___helicopter,share_noise___house_of_worship,count_evening,share_evening,count_early_am,share_early_am,count_core_night,share_core_night,count_predawn,share_predawn,count_late_night,late_night_share,count_weekend,count_weekday,weekend_rate,weekday_rate,weekend_uplift,count_warm,count_cool,warm_rate,cool_rate,warm_season_ratio,warm_share,borough_name,district_number,cd_label,cd_short,year_start,year_end
111,6826,125413,6.146338865951981,54.42816932853851,1110.579834413791,0.5249047758570173,0.2698505713448579,0.03691766774099033,0.05610899501904483,0.00732493407559332,0.09727512452387929,0.006152944623498389,0.001464986815118664,2607,0.3819220627014357,1167,0.17096396132434807,971,0.14225021974802227,2081,0.30486375622619394,1476,0.2162320539115148,2687,4139,1343.5,827.8,1.6229765643875333,1769,5057,589.6666666666666,561.8888888888889,1.0494364247577614,0.25915616759449167,Manhattan,11,Manhattan Community District 11,MN 11,2021,2023
112,16234,202697,7.242831524725994,80.0899865316211,2241.388598447919,0.3219785635086855,0.3827768880128126,0.06726623136626833,0.15516816557841567,0.005420721941604041,0.0629542934581742,0.004127140569175804,0.00030799556486386595,7189,0.44283602316126647,3297,0.2030922754712332,2072,0.12763336207958606,3676,0.22643833928791426,3346,0.2061106320068991,7110,9124,3555.0,1824.8,1.9481587023235423,5232,11002,1744.0,1222.4444444444443,1.4266497000545357,0.32228655907354936,Manhattan,12,Manhattan Community District 12,MN 12,2021,2023
201,5878,100606,5.611136815229205,58.425938810806514,1047.5595576366095,0.6192582511058183,0.18645797890438925,0.04763525008506295,0.07978904389248044,0.0027220142905750254,0.06328683225586934,0.0006805035726437564,0.0001701258931609391,2114,0.35964613814222524,1249,0.21248724055801294,1067,0.181524328002722,1448,0.2463422932970398,1650,0.28070772371554953,2341,3537,1170.5,707.4,1.6546508340401471,1763,4115,587.6666666666666,457.22222222222223,1.2852976913730254,0.2999319496427356,Bronx,1,Bronx Community District 1,BX 1,2021,2023
202,2331,55971,5.742061561179732,41.64656697218202,405.9517605591616,0.5594165594165594,0.2548262548262548,0.04032604032604033,0.08022308022308022,0.00429000429000429,0.06006006006006006,0.000429000429000429,0.000429000429000429,1133,0.48605748605748605,466,0.19991419991419992,275,0.11797511797511798,457,0.19605319605319604,467,0.20034320034320036,1069,1262,534.5,252.4,2.117670364500792,677,1654,225.66666666666666,183.77777777777777,1.2279322853688028,0.2904332904332904,Bronx,2,Bronx Community District 2,BX 2,2021,2023
203,7813,88856,4.161660510910736,87.92878364995047,1877.375624349091,0.583002687827979,0.30410853705362856,0.020606681172404967,0.05017278894150774,0.008319467554076539,0.032637911173684885,0.0002559836170485089,0.0008959426596697811,2942,0.3765519006783566,1592,0.20376295917061307,1289,0.16498144118776398,1990,0.25470369896326633,1984,0.25393574811212083,3224,4589,1612.0,917.8,1.756373937677054,2601,5212,867.0,579.1111111111111,1.4971220260936302,0.33290669397158584,Bronx,3,Bronx Community District 3,BX 3,2021,2023
204,10247,153883,5.1580060932322,66.58955180234334,1986.6203751571852,0.42529520835366447,0.3788425880745584,0.035034644286132524,0.12237728115546014,0.008587879379330535,0.029179271982043526,9.758953840148337e-05,0.0005855372304089002,5023,0.4901922513906509,2329,0.22728603493705474,1183,0.11544842392895481,1712,0.16707328974333951,2067,0.2017175758758661,4549,5698,2274.5,1139.6,1.9958757458757461,4125,6122,1375.0,680.2222222222222,2.0213982358706306,0.40255684590611884,Bronx,4,Bronx Community District 4,BX 4,2021,2023
205,10348,137347,3.559644539813331,75.34201693520791,2907.031835415413,0.3971781986857364,0.3535948975647468,0.03604561267877851,0.18322381136451488,0.0023192887514495554,0.026961731735601083,9.663703131039814e-05,0.0005798221878623889,4921,0.4755508310784693,2455,0.23724391186702745,1203,0.11625434866640896,1769,0.17095090838809432,2208,0.2133745651333591,4479,5869,2239.5,1173.8,1.9079059464985517,4684,5664,1561.3333333333333,629.3333333333334,2.4809322033898304,0.4526478546579049,Bronx,5,Bronx Community District 5,BX 5,2021,2023
206,5801,87409,3.9633372286099706,66.36616366735691,1463.665508482239,0.5095673159800035,0.24099293225305982,0.10722289260472333,0.08619203585588692,0.003102913290811929,0.05033614893983796,0.0005171522151353214,0.002068608860541286,2604,0.44888812273745904,1062,0.18307188415790382,821,0.14152732287536632,1314,0.22651267022927082,1245,0.21461816928115843,2500,3301,1250.0,660.2,1.8933656467737048,2035,3766,678.3333333333334,418.44444444444446,1.621083377588954,0.3508015859334597,Bronx,6,Bronx Community District 6,BX 6,2021,2023
207,9050,139443,4.95231816023113,64.90107068838164,1827.4270164374147,0.6191160220994475,0.22441988950276243,0.020883977900552485,0.06740331491712707,0.004972375690607734,0.06276243093922652,0.00022099447513812155,0.00022099447513812155,3621,0.4001104972375691,1854,0.2048618784530387,1359,0.1501657458563536,2216,0.24486187845303867,2145,0.23701657458563535,3696,5354,1848.0,1070.8,1.7258124766529699,2736,6314,912.0,701.5555555555555,1.2999683243585682,0.30232044198895025,Bronx,7,Bronx Community District 7,BX 7,2021,2023
208,4954,106607,8.553868401243216,46.46974401305731,579.1531699599199,0.5647961243439644,0.16330238191360516,0.018974566007266856,0.08760597496972143,0.010092854259184497,0.14170367379895035,0.011707710940654016,0.0018167137666532096,1966,0.39685102947113443,855,0.1725878078320549,757,0.15280581348405328,1376,0.27775534921275735,1120,0.22607993540573273,2043,2911,1021.5,582.2,1.7545517004465818,1399,3555,466.3333333333333,395.0,1.180590717299578,0.2823980621719822,Bronx,8,Bronx Community District 8,BX 8,2021,2023
