ntacode,nta_name,borough_name,ntatype,ntatype_label,is_residential,count_night,population,area_km2,rate_per_1k_pop,rate_per_km2,share_noise___residential,share_noise___street/sidewalk,share_noise___commercial,share_noise___vehicle,share_noise___park,share_noise,share_noise___helicopter,share_noise___house_of_worship,count_evening,share_evening,count_early_am,share_early_am,count_core_night,share_core_night,count_predawn,share_predawn,count_late_night,late_night_share,count_weekend,count_weekday,weekend_uplift,count_warm,count_cool,warm_season_ratio,year_start,year_end
BK1201,Sunset Park (East)-Borough Park (West),Brooklyn,0,Residential/Mixed,True,944,30570,1.0915345925965723,30.879947661105657,864.8374558193223,0.524364406779661,0.24470338983050846,0.06779661016949153,0.05402542372881356,0.001059322033898305,0.1048728813559322,0.00211864406779661,0.001059322033898305,351.0,0.3718220338983051,210.0,0.22245762711864406,135.0,0.1430084745762712,248.0,0.2627118644067797,225,0.23834745762711865,376,568,1.6549295774647887,324,620,1.567741935483871,2021,2023
BK1202,Borough Park,Brooklyn,0,Residential/Mixed,True,753,85592,3.7608467846747646,8.797551173006823,200.2208659678538,0.31341301460823373,0.08632138114209828,0.055776892430278883,0.39707835325365204,0.0026560424966799467,0.1407702523240372,0.0013280212483399733,0.0026560424966799467,143.0,0.1899070385126162,76.0,0.10092961487383798,157.0,0.20849933598937584,377.0,0.50066401062417,190,0.25232403718459495,199,554,0.898014440433213,148,605,0.7338842975206611,2021,2023
BK1203,Kensington,Brooklyn,0,Residential/Mixed,True,1171,38201,1.6231357614440516,30.653647810266747,721.4430411897271,0.32023911187019644,0.19470538001707943,0.06917164816396243,0.22715627668659266,0.010247651579846286,0.1707941929974381,0.004269854824935952,0.0034158838599487617,238.0,0.20324508966695132,272.0,0.2322801024765158,257.0,0.21947053800170793,404.0,0.34500426985482496,426,0.3637916310845431,376,795,1.1823899371069182,252,919,0.8226332970620239,2021,2023
BK1204,Mapleton-Midwood (West),Brooklyn,0,Residential/Mixed,True,639,37695,2.9131181031443063,16.951850378034223,219.3525896908499,0.6369327073552425,0.08607198748043818,0.025039123630672927,0.09859154929577464,0.01564945226917058,0.12519561815336464,0.0,0.012519561815336464,131.0,0.20500782472613457,76.0,0.1189358372456964,108.0,0.16901408450704225,324.0,0.5070422535211268,143,0.2237871674491393,243,396,1.534090909090909,126,513,0.7368421052631579,2021,2023
BK1301,Gravesend (South),Brooklyn,0,Residential/Mixed,True,577,28552,2.4002292739758815,20.208741944522274,240.39370165843496,0.6655112651646448,0.12478336221837089,0.01386481802426343,0.05199306759098787,0.0034662045060658577,0.14038128249566725,0.0,0.0,159.0,0.2755632582322357,96.0,0.1663778162911612,98.0,0.16984402079722705,224.0,0.3882149046793761,143,0.24783362218370883,204,373,1.3672922252010724,129,448,0.8638392857142857,2021,2023
BK1302,Coney Island-Sea Gate,Brooklyn,0,Residential/Mixed,True,1426,51468,4.421181838920146,27.706536100101033,322.5381927173333,0.6276297335203366,0.182328190743338,0.023842917251051893,0.03716690042075736,0.0070126227208976155,0.12201963534361851,0.0,0.0,579.0,0.4060308555399719,236.0,0.16549789621318373,235.0,0.16479663394109398,376.0,0.26367461430575034,316,0.22159887798036465,544,882,1.5419501133786848,469,957,1.4702194357366773,2021,2023
BK1303,Brighton Beach,Brooklyn,0,Residential/Mixed,True,940,30279,1.2601579739492255,31.044618382377227,745.9382231690538,0.7308510638297873,0.11595744680851064,0.00851063829787234,0.039361702127659576,0.00425531914893617,0.09787234042553192,0.0010638297872340426,0.002127659574468085,274.0,0.29148936170212764,153.0,0.16276595744680852,116.0,0.12340425531914893,397.0,0.4223404255319149,191,0.20319148936170212,322,618,1.302588996763754,254,686,1.1107871720116618,2021,2023
BK1391,Calvert Vaux Park,Brooklyn,9,Park/Recreation,False,5,0,0.39226326136013545,,12.746541653334999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.8,1.0,0.2,0.0,0.0,0.0,0.0,0,0.0,3,2,3.75,1,4,0.75,2021,2023
BK1401,Flatbush,Brooklyn,0,Residential/Mixed,True,3438,70800,2.231926182375071,48.559322033898304,1540.373524513926,0.5936591041303083,0.16114019778941244,0.04275741710296684,0.112565445026178,0.00029086678301337986,0.08406050029086679,0.0049447353112274574,0.0005817335660267597,1043.0,0.3033740546829552,539.0,0.15677719604421175,567.0,0.1649214659685864,1289.0,0.37492728330424663,818,0.23792902850494474,1148,2290,1.2532751091703056,822,2616,0.9426605504587156,2021,2023
BK1402,Flatbush (West)-Ditmas Park-Parkville,Brooklyn,0,Residential/Mixed,True,1070,41597,2.127919896659095,25.72300887083203,502.8384769933942,0.5644859813084112,0.1383177570093458,0.05794392523364486,0.0616822429906542,0.0009345794392523365,0.16728971962616823,0.003738317757009346,0.005607476635514018,326.0,0.30467289719626167,187.0,0.17476635514018693,211.0,0.197196261682243,346.0,0.3233644859813084,298,0.27850467289719627,361,709,1.272919605077574,276,794,1.0428211586901763,2021,2023
